"id","systemID","businessSourceCode","channelCode","sid","orgAreaCode","field","fieldName","value","createTime","updateTime","remark","amountRules"
3993,LHJY0000001,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003|003","2023-03-06 11:18:17","2023-12-04 15:22:48",,amount<=100|amount>100
3994,LHJY0000002,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;003;005","2023-05-04 15:36:39","2023-12-04 15:22:48",,
1199,LY0170001;0170;M00000000008,,,,"440000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2022-05-30 10:49:25","2023-12-04 15:22:48",,
4382,LY8001001;8001;U00102000001,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003;005|003","2024-02-27 15:29:39","2024-02-27 15:29:39",,amount<10000|amount>=10000
3914,LY8005001;8005;M00100000016,,,,"500000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;002;003;005","2023-07-20 10:53:55","2023-12-04 15:22:48",,
4381,LY9999999;0221;M00100000005,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;002;003;005|001;003","2024-02-27 15:29:34","2024-02-27 15:29:34",,amount<=10000|amount>10000
2099,LYBH0000001;9002;M00100000005,,,,"",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2022-12-11 09:04:12","2023-12-04 15:22:48",,
2518,LYBH0000001;9002;M00100000020,,,,"",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2023-01-30 15:33:44","2023-12-04 15:22:48",,
1513,lymk0000001,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003;005|003","2022-09-07 18:10:08","2023-12-04 15:22:48",,amount<10000|amount>=10000
2549,LYXY9002001;9002;M00100000005,,,,"000000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2023-01-31 10:38:45","2023-12-04 15:22:48",,
1203,MG0170001;0170;M00000000008,,,,"440000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;003","2022-05-30 10:52:59","2023-12-04 15:22:48",,
1221,MG0170001;0170;M00000000008,,,,"440000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;003","2022-05-31 09:40:51","2023-12-04 15:22:48",,
1591,MG8001001;8001;U00102000001,,,,"",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003;005|003","2022-09-27 17:29:54","2023-12-04 15:22:48",,amount<10000|amount>=10000
3996,MG9001001;9001;M00000000004,,,,"",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;003","2023-08-10 10:01:43","2023-12-04 15:22:48",,
4000,MG9001001;9001;M00000000004,,,,"530100000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;003","2023-08-10 10:02:18","2023-12-04 15:22:48",,
1357,MG9999999;0150;U00002000004,,,,"330300",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003|001","2022-07-12 16:11:37","2023-12-04 15:22:48",,amount<=300|amount>300
3553,MG9999999;0221;M00100000005,,,,"500000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2023-05-31 15:15:02","2023-12-04 15:22:48",,
3557,MG9999999;0221;M00100000005,,,,"530000000000",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","003","2023-05-31 15:15:57","2023-12-04 15:22:48",,
1523,MG9999999;8002;U00102000004,,,,"",payMethodNew,"支付方式,拼接按照从小到大顺序拼接","002;003|003","2022-09-19 17:13:33","2023-12-04 15:22:48",,amount<=3000|amount>3000
2219,ZC8003001,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;002;003;005|001;003","2022-12-27 10:39:18","2023-12-04 15:22:48",,amount<=10000|amount>10000
3790,ZC8003002,,,,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接","001;002;003;005|001;003","2023-06-28 14:46:24","2023-12-04 15:22:48",,amount<=10000|amount>10000
